dataset,region,location,invoice_code,transaction_date,amount_should_pay,amount_input_branch,payment_method,bank_date,source_created_at,payment_received_at,transaction_time,verified
REALISTIS,Bandung Raya,Cihanjuang,RLS-JBR-2601-01,2026-01-07,1250000,1000000,transfer,2026-01-07,2026-01-23 04:20,2026-01-07 09:00,04:20,false
REALISTIS,Jatijaya,Semarang,RLS-JTG-2601-01,2026-01-12,900000,900000,tunai,2026-01-12,2026-01-14 09:30,2026-01-12 09:00,09:30,true
REALISTIS,Jatijaya,Sidoarjo,RLS-JTM-2601-01,2026-01-19,2200000,2150000,transfer,2026-01-19,2026-01-22 08:00,2026-01-19 08:30,08:00,false
REALISTIS,Sumatera Bagian Selatan,Sudirman,RLS-SSL-2601-01,2026-01-26,1700000,1700000,transfer,2026-01-26,2026-01-26 10:15,2026-01-26 10:00,10:15,true
REALISTIS,Bekasi Kota,Rawalumbu,RLS-JBR-2602-01,2026-02-04,1500000,1450000,transfer,2026-02-04,2026-02-20 09:00,2026-02-04 08:30,09:00,false
REALISTIS,Jatijaya,Surakarta,RLS-JTG-2602-01,2026-02-09,1100000,1100000,tunai,2026-02-09,2026-02-12 00:45,2026-02-09 09:00,00:45,false
REALISTIS,Jatijaya,Malang,RLS-JTM-2602-01,2026-02-16,2400000,2200000,transfer,2026-02-16,2026-02-18 10:00,2026-02-16 09:30,10:00,false
REALISTIS,Sumatera Bagian Selatan,Sukamto,RLS-SSL-2602-01,2026-02-23,800000,800000,transfer,2026-02-23,2026-02-23 11:00,2026-02-23 10:30,11:00,true
REALISTIS,Bogor Plus,Paledang,RLS-JBR-2603-01,2026-03-03,1850000,1750000,transfer,2026-03-03,2026-03-26 04:50,2026-03-03 09:00,04:50,false
REALISTIS,Jatijaya,Tegal,RLS-JTG-2603-01,2026-03-09,950000,950000,tunai,2026-03-09,2026-03-11 09:15,2026-03-09 09:00,09:15,true
REALISTIS,Jatijaya,Rungkut,RLS-JTM-2603-01,2026-03-16,2050000,1950000,transfer,2026-03-16,2026-03-19 08:40,2026-03-16 09:00,08:40,false
REALISTIS,Sumatera Bagian Selatan,Sudirman,RLS-SSL-2603-01,2026-03-30,1350000,1350000,transfer,2026-03-30,2026-03-30 10:10,2026-03-30 10:00,10:10,true
REALISTIS,Bandung Raya,Cihanjuang,RLS-JBR-2604-01,2026-04-02,3000000,2800000,transfer,2026-04-02,2026-04-21 09:00,2026-04-02 08:30,09:00,false
REALISTIS,Jatijaya,Semarang,RLS-JTG-2604-01,2026-04-06,1600000,1550000,tunai,2026-04-06,2026-04-09 00:20,2026-04-06 09:00,00:20,false
REALISTIS,Jatijaya,Sidoarjo,RLS-JTM-2604-01,2026-04-13,2250000,2250000,transfer,2026-04-13,2026-04-15 09:00,2026-04-13 08:45,09:00,true
REALISTIS,Sumatera Bagian Selatan,Sukamto,RLS-SSL-2604-01,2026-04-20,1050000,1000000,transfer,2026-04-20,2026-04-23 08:00,2026-04-20 08:30,08:00,false
REALISTIS,Bekasi Kota,Rawalumbu,RLS-JBR-2605-01,2026-05-04,1950000,1850000,transfer,2026-05-04,2026-05-22 04:15,2026-05-04 09:00,04:15,false
REALISTIS,Jatijaya,Surakarta,RLS-JTG-2605-01,2026-05-11,1200000,1200000,tunai,2026-05-11,2026-05-13 09:30,2026-05-11 09:00,09:30,true
REALISTIS,Jatijaya,Malang,RLS-JTM-2605-01,2026-05-18,2750000,2600000,transfer,2026-05-18,2026-05-21 10:00,2026-05-18 09:30,10:00,false
REALISTIS,Sumatera Bagian Selatan,Sudirman,RLS-SSL-2605-01,2026-05-25,1450000,1450000,transfer,2026-05-25,2026-05-25 11:00,2026-05-25 10:45,11:00,true
REALISTIS,Bogor Plus,Paledang,RLS-JBR-2606-01,2026-06-01,3250000,3000000,transfer,2026-06-01,2026-06-19 04:40,2026-06-01 09:00,04:40,false
REALISTIS,Jatijaya,Tegal,RLS-JTG-2606-01,2026-06-08,1300000,1250000,tunai,2026-06-08,2026-06-11 09:00,2026-06-08 09:30,09:00,false
REALISTIS,Jatijaya,Rungkut,RLS-JTM-2606-01,2026-06-15,2500000,2500000,transfer,2026-06-15,2026-06-17 09:00,2026-06-15 08:30,09:00,true
REALISTIS,Sumatera Bagian Selatan,Sukamto,RLS-SSL-2606-01,2026-06-22,1550000,1500000,transfer,2026-06-22,2026-06-25 08:30,2026-06-22 09:00,08:30,false
